Wavelength (nm)	0.5M HCl	0.75M HCl	1M HCl	1.5M HCl	2M HCl	2.5M HCl	3M HCl	3.5M HCl	4M HCl	4.5M HCl	5M HCl	6M HCl	7M HCl	8M HCl
763,9646606	0,002215266461	0,00177341362	0,001989876153	0,001280211844	0,001159815001	0,001489830785	0,0007839128957	0,0004260071728	0,001241295948	0,0005378550268	0,0002135340619	-0,0004273223458	0,0002666296496	-0,0005456439103
762,9802856	0,001986521529	0,001688376535	0,00155630568	0,001269801054	0,001390903606	0,001339513925	0,0003434095706	0,0003544458596	0,00127499341	0,0003404044255	-0,00004716167314	-0,0002894122154	-0,0002257187443	-0,0006872461527
761,9955444	0,002405137988	0,001843051519	0,001890964922	0,001191922696	0,0009755462524	0,001245838939	0,0005222008331	0,000398697448	0,001241425751	0,0004169641761	0,0002326736285	-0,0005490565673	0,000584043446	-0,0005912470515
761,010437	0,002180325333	0,001810141723	0,001765278284	0,001554668997	0,001477311016	0,001582986908	0,0007056290633	0,0004018325126	0,001268580789	0,0004448451509	0,0006982655614	-0,0000829307246	0,0002690385154	-0,000734591682
760,0249634	0,002138675191	0,001447493793	0,00194145774	0,001317157876	0,001068358542	0,001336294226	0,001223851112	0,0004200994154	0,0006596351159	0,0001682137081	0,0002258102177	-0,000327334099	0,0002152692905	-0,000502776762
759,0391235	0,002675592899	0,001916028559	0,002005661372	0,001485129353	0,001469778595	0,001698927255	0,001530327601	0,0005577605916	0,001514741452	0,001142036053	0,0006312218611	-0,0001484047825	0,0007896181778	-0,0006508030929
758,0529785	0,002398500452	0,001955888933	0,001960933674	0,001558617805	0,001024038647	0,001922086696	0,001390176476	0,0006380658015	0,001420561224	0,000567817362	0,0006198415649	-0,0005039661191	0,0005324641243	-0,0005438341759
757,0664063	0,002340094419	0,002327680355	0,001816900214	0,001615983318	0,001459285384	0,001560488367	0,0008949451731	0,0006597387837	0,001361559611	0,0007135890191	0,0007229234325	-0,0003616316826	0,000430541666	-0,000280461536
755,9384766	0,00217473181	0,001877003699	0,001985455165	0,001455545309	0,001219775644	0,001738118124	0,0009861316066	0,0006813610671	0,00120552443	0,001024298137	0,0004676746612	-0,0002336874168	0,0004164718848	-0,0008257017471
754,9511719	0,002116200048	0,0020732556	0,002096456941	0,001752230804	0,001725825132	0,001920578652	0,00152996392	0,001063791336	0,001732218429	0,001207289635	0,0009093935951	0,00003378250403	0,0003701199312	0,00008727036766
